954,6
1483,5
174,5
1098,7
374,6
1015,6
1492,5
724,4
216,5
783,5
1112,6
183,5
1594,5
66,5
246,5
94,4
1419,5
1199,6
1122,6
414,5
1546,5
64,5
1437,5
1442,5
1120,8
438,6
104,5
132,5
125,5
434,6
327,5
1512,6
321,5
1045,6
811,6
294,6
956,6
280,6
709,6
1335,6
881,6
637,5
188,5
35,6
1005,7
1175,6
950,7
281,7
858,7
152,5
39,5
1347,5
65,5
1285,5
792,6
554,5
748,6
513,7
247,5
512,6
118,6
195,5
1171,6
538,7
400,5
1292,6
1294,6
809,6
464,6
655,5
1290,5
385,6
959,5
424,5
501,7
439,5
1336,5
541,6
255,5
1042,6
1009,5
303,5
181,5
289,5
228,6
437,6
1020,6
1359,6
435,5
57,5
1059,7
361,6
1002,7
465,5
1457,5
1049,6
417,5
568,6
1490,6
887,7
482,5
390,8
1228,7
1100,6
984,5
1090,8
750,5
1323,7
248,6
1322,5
1180,6
72,5
1358,5
1132,7
615,5
722,5
631,5
418,6
1268,6
1026,6
127,5
596,6
1568,5
624,5
1411,6
1073,6
1318,6
753,5
550,6
59,6
492,7
529,5
775,5
396,5
1515,6
1116,6
234,6
715,6
222,5
87,5
680,5
1592,6
1535,6
1239,4
726,6
1066,7
296,5
701,6
1183,5
1173,6
1094,6
752,5
518,6
684,5
1510,6
1244,6
1541,7
1373,5
930,5
1477,7
403,6
622,5
1443,5
945,7
1251,5
149,6
840,7
924,5
1193,5
470,5
241,6
851,5
1543,6
704,4
877,6
758,5
771,5
1362,6
62,7
763,5
224,4
603,6
1030,7
1095,5
773,6
1392,5
834,5
293,6
1320,5
681,6
1382,5
196,5
560,5
27,5
1338,5
1282,6
1408,7
1454,6
982,6
469,5
139,5
430,7
1534,7
1106,6
340,6
594,5
1148,6
217,5
1245,5
1517,6
582,5
348,6
1500,5
351,6
405,6
1571,6
923,6
381,6
1299,3
358,7
997,7
1048,6
1317,6
14,5
1297,6
939,5
301,6
1412,6
960,6
827,5
1491,5
535,6
566,6
1466,7
1433,7
40,5
1035,7
1196,6
186,5
369,7
237,6
874,7
931,5
3,6
201,5
1484,4
1544,7
652,5
1001,7
666,6
1281,6
801,5
996,7
34,5
38,4
617,6
1480,4
905,5
1310,5
1265,6
145,5
143,5
1418,5
333,5
1432,6
1495,6
384,5
875,7
990,5
553,5
1224,6
1235,4
1496,5
543,6
88,5
595,5
323,6
1211,5
1013,6
194,5
892,6
50,5
1428,5
683,5
1404,6
171,6
505,7
1429,5
1321,6
130,5
493,6
1386,5
357,7
688,5
1062,6
623,6
1467,4
1150,7
1080,6
209,7
1486,5
1302,6
169,5
459,3
1259,6
432,6
686,5
271,6
880,5
1014,6
383,6
1190,6
556,6
782,5
1399,6
599,6
1261,4
629,5
319,6
803,6
